"state","county","Number_children","Number_adults","Family_Size","housing_cost","food_cost","transportation_cost","healthcare_cost","other_necessities_cost","childcare_cost","taxes","total_cost","median_family_income","remaining_income","deficit_status","child_coef"
"AK","Aleutians East Borough",0,1,1,9396,3755.43,5964.03,6369.28,4765.28,0,4494.88,34744.9,79776.17,45031.27,FALSE,-15157
"AK","Aleutians East Borough",0,2,2,10236,6884.95,7544.98,12738.56,6203.6,0,5606.29,49214.38,79776.17,30561.79,FALSE,-15157
"AK","Aleutians East Borough",1,1,2,13380,5531.56,6379.69,9559.67,6852.4,9964.76,5529.32,57197.4,79776.17,22578.77,FALSE,-15157
"AK","Aleutians East Borough",1,2,3,13380,8566.12,8009.58,15928.95,7951.95,9964.76,7177.78,70979.13,79776.17,8797.03999999999,FALSE,-15157
"AK","Aleutians East Borough",2,1,3,13380,7821.54,6888.4,12750.05,7682.15,18393.45,6508.13,73423.73,79776.17,6352.44,FALSE,-15157
"AK","Aleutians East Borough",2,2,4,13380,10578.61,8230.68,19119.33,8681.15,18393.45,7575.03,85958.25,79776.17,-6182.08,TRUE,-15157
"AK","Aleutians East Borough",3,1,4,16644,10539.54,7140.52,15940.44,9849.67,20986.89,8777.37,89878.43,79776.17,-10102.26,TRUE,-15157
"AK","Aleutians East Borough",3,2,5,16644,12985.61,8475.93,22309.72,10735.98,20986.89,8793.28,100931.41,79776.17,-21155.24,TRUE,-15157
"AK","Aleutians East Borough",4,1,5,16644,12973.1,7338.72,19130.82,10731.44,20986.89,8871.16,96676.14,79776.17,-16899.97,TRUE,-15157
"AK","Aleutians East Borough",4,2,6,16644,15946.15,8208.15,25500.1,11808.7,20986.89,8440,107533.99,79776.17,-27757.82,TRUE,-15157
"AK","Aleutians West Census Area",0,1,1,12624,5581.22,2538.94,6369.28,6596.47,0,5184.35,38894.27,98061.89,59167.62,FALSE,-20224
"AK","Aleutians West Census Area",0,2,2,14520,10232.24,3752.86,12738.56,8968.71,0,6929.93,57142.31,98061.89,40919.58,FALSE,-20224
"AK","Aleutians West Census Area",1,1,2,19140,8220.86,2758.05,9559.67,9913.92,12106.71,7830.23,69529.44,98061.89,28532.45,FALSE,-20224
"AK","Aleutians West Census Area",1,2,3,19140,12730.75,4131.73,15928.95,11548.03,12106.71,9580.23,85166.4,98061.89,12895.49,FALSE,-20224
"AK","Aleutians West Census Area",2,1,3,19140,11624.18,3125.03,12750.05,11147.07,22347.17,10673.15,90806.65,98061.89,7255.24000000001,FALSE,-20224
"AK","Aleutians West Census Area",2,2,4,19140,15721.67,4192.55,19119.33,12631.76,22347.17,11187.67,104340.14,98061.89,-6278.25,TRUE,-20224
"AK","Aleutians West Census Area",3,1,4,23808,15663.6,3217.56,15940.44,14302.12,25498.08,14896.67,113326.47,98061.89,-15264.58,TRUE,-20224
"AK","Aleutians West Census Area",3,2,5,23808,19298.89,4032.34,22309.72,15619.33,25498.08,14244.59,124810.94,98061.89,-26749.05,TRUE,-20224
